"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 19 19:34:08 IST 2025","Sun Oct 19 19:34:21 IST 2025","12660","Suite","Test","testcases.StoreEntryTest","testcases.StoreEntryTest","Verifylogin","Verifylogin",""
"passed","Sun Oct 19 19:33:41 IST 2025","Sun Oct 19 19:33:46 IST 2025","5476","Suite","Test","testcases.StoreEntryTest","testcases.StoreEntryTest","VerifyStoreEntryTitle","VerifyStoreEntryTitle",""
"passed","Sun Oct 19 19:33:08 IST 2025","Sun Oct 19 19:33:15 IST 2025","6811","Suite","Test","testcases.DashBoardTest","testcases.DashBoardTest","verifyAvailablePets","verifyAvailablePets",""
"broken","Sun Oct 19 19:34:54 IST 2025","Sun Oct 19 19:35:16 IST 2025","22114","Suite","Test","testcases.StoreEntryTest","testcases.StoreEntryTest","Verifylogin","Verifylogin",""
"passed","Sun Oct 19 19:33:51 IST 2025","Sun Oct 19 19:34:03 IST 2025","11958","Suite","Test","testcases.StoreEntryTest","testcases.StoreEntryTest","Verifylogin","Verifylogin",""
"broken","Sun Oct 19 19:34:26 IST 2025","Sun Oct 19 19:34:49 IST 2025","22457","Suite","Test","testcases.StoreEntryTest","testcases.StoreEntryTest","Verifylogin","Verifylogin",""
"broken","Sun Oct 19 19:32:33 IST 2025","Sun Oct 19 19:33:03 IST 2025","30688","Suite","Test","testcases.DashBoardTest","testcases.DashBoardTest","verifyAllPets","verifyAllPets",""
"passed","Sun Oct 19 19:33:20 IST 2025","Sun Oct 19 19:33:25 IST 2025","4557","Suite","Test","testcases.HomePageTest","testcases.HomePageTest","VerifyHomePageTitle","VerifyHomePageTitle",""
"passed","Sun Oct 19 19:33:30 IST 2025","Sun Oct 19 19:33:36 IST 2025","5408","Suite","Test","testcases.StoreEntryTest","testcases.StoreEntryTest","VerifySignInButtonPresence","VerifySignInButtonPresence",""
